address;flats;entrances;floors
Спортивная набережная, 6;72;2;9
Спортивная набережная, 3;108;3;9
улица Димитрова, 74;102;3;9
улица Димитрова, 2;125;4;9
улица Димитрова, 56-а;47;1;9
улица Димитрова, 2-а;238;3;16
улица Димитрова, 79;205;6;9
улица Димитрова, 144;398;10;10
улица Димитрова, 142;323;9;10
улица Димитрова, 153;70;2;9
улица Димитрова, 132-а;107;3;9
улица Димитрова, 134;32;2;4
улица Димитрова, 135;48;3;4
улица Димитрова, 27;288;7;1
улица Димитрова, 155;215;6;9
улица Димитрова, 8;234;7;9
улица Димитрова, 72;119;3;9
улица Димитрова, 131;228;5;45
улица Димитрова, 136;97;8;5
улица Димитрова, 157;499;9;45
улица Димитрова, 4;225;7;9
улица Димитрова, 126;314;4;5
улица Димитрова, 6;232;7;9
улица Димитрова, 130;64;4;5
улица Димитрова, 136-а;71;2;9
улица Димитрова, 132;32;2;4
улица Димитрова, 137;54;1;9
улица Димитрова, 139/2;32;2;4
улица Димитрова, 102;77;1;12
улица Березовая Роща, 4-б;72;2;9
улица Березовая Роща, 8;118;6;5
улица Березовая Роща, 8-а;319;4;15
улица Березовая Роща, 36-а;147;1;9
улица Березовая Роща, 54/2;160;1;16
улица Березовая Роща, 18;78;4;5
улица Березовая Роща, 24/1;405;6;1
улица Березовая Роща, 60;80;4;5
улица Березовая Роща, 34;60;3;5
улица Березовая Роща, 62;80;4;5
улица Березовая Роща, 54/1;159;1;16
улица Березовая Роща, 27;150;3;5
улица Березовая Роща, 24;83;1;12
улица Березовая Роща, 24-а;83;1;12
улица Березовая Роща, 12;120;6;5
улица Березовая Роща, 30;148;3;5
улица Березовая Роща, 6;54;1;9
улица Березовая Роща, 40;116;6;5
улица Березовая Роща, 38-а;88;2;9
улица Березовая Роща, 44;120;6;5
улица Березовая Роща, 68;64;4;5
улица Березовая Роща, 16;80;4;5
улица Березовая Роща, 6-в;71;2;9
улица Березовая Роща, 6-б;72;2;9
улица Березовая Роща, 2-б;51;1;9
улица Березовая Роща, 50;118;3;5
улица Ворошилова, 2;143;10;45
улица Ворошилова, 42;120;2;5
улица Ворошилова, 1-в;184;1;25
улица Ворошилова, 6;122;8;5
улица Ворошилова, 30;80;4;5
улица Ворошилова, 32;80;4;5
улица Ворошилова, 55;79;2;10
улица Ворошилова, 7;89;5;5
улица Ворошилова, 49-а;77;2;10
улица Ворошилова, 44;99;6;5
улица Ворошилова, 49;120;3;10
улица Ворошилова, 12;33;2;5
улица Ворошилова, 1-г;185;1;25
улица Ворошилова, 1/6;180;3;
улица Ворошилова, 45-б;238;2;17
улица Ворошилова, 29;80;4;5
улица Ворошилова, 50;108;4;9
улица Ворошилова, 47;79;2;10
улица Ворошилова, 9;35;1;9
улица Ворошилова, 23;77;4;5
улица Ворошилова, 38-а;88;3;7
улица Ворошилова, 31-а;176;2;10
улица Ворошилова, 37;48;1;9
улица Ворошилова, 43;177;4;42
улица Ворошилова, 31;80;4;5
улица Ворошилова, 21;70;4;5
улица Ворошилова, 4;70;4;5
улица Молодогвардейцев, 21;97;6;5
улица Молодогвардейцев, 4;129;8;5
улица Молодогвардейцев, 10;170;1;5
улица Молодогвардейцев, 13;120;2;5
улица Молодогвардейцев, 20;60;4;5
улица Молодогвардейцев, 7;132;4;9
улица Молодогвардейцев, 22;120;8;5
улица Молодогвардейцев, 14;139;2;5
улица Молодогвардейцев, 19;60;4;5
улица Молодогвардейцев, 15;174;1;5
улица Молодогвардейцев, 8;80;6;5
улица Молодогвардейцев, 12;150;2;5
улица Молодогвардейцев, 11;175;2;5
улица Молодогвардейцев, 16;129;8;5
улица Генерала Перхоровича, 10;119;3;10
улица Генерала Перхоровича, 8;120;3;10
улица Генерала Перхоровича, 3;91;5;5
улица Генерала Перхоровича, 7;70;4;5
улица Генерала Перхоровича, 4;216;6;9
улица Генерала Перхоровича, 9;70;4;5
улица Генерала Перхоровича, 12;119;3;10
улица Генерала Перхоровича, 11;144;4;9
улица Генерала Перхоровича, 2;84;1;12
улица Генерала Перхоровича, 1а;84;1;12
улица Генерала Перхоровича, 6;144;4;9
улица Генерала Перхоровича, 5;100;6;5
бульвар Пионеров, 16;80;4;5
бульвар Пионеров, 22;80;4;5
бульвар Пионеров, 17-б;119;1;17
бульвар Пионеров, 26;70;4;5
бульвар Пионеров, 10-в;160;4;10
бульвар Пионеров, 8;80;4;5
бульвар Пионеров, 19-а;108;3;9
бульвар Пионеров, 5;74;4;5
бульвар Пионеров, 15;144;4;9
бульвар Пионеров, 1;74;4;5
бульвар Пионеров, 9;158;3;5
бульвар Пионеров, 11;146;3;5
бульвар Пионеров, 6;65;4;5
бульвар Пионеров, 21;74;4;5
бульвар Пионеров, 4;110;3;5
бульвар Пионеров, 27;72;4;5
бульвар Пионеров, 2;79;4;5
улица Космонавтов, 23в корп. 1;153;1;17
улица Космонавтов, 28;80;4;5
улица Космонавтов, 60;231;3;12
улица Космонавтов, 26;80;4;5
улица Космонавтов, 18;136;8;5
улица Космонавтов, 23-в;204;1;17
улица Космонавтов, 50;80;4;5
улица Космонавтов, 10;64;4;5
улица Космонавтов, 14;78;4;5
улица Космонавтов, 30;80;4;5
улица Космонавтов, 32;80;4;5
улица Космонавтов, 56;119;6;5
улица Космонавтов, 62;98;3;9
улица Космонавтов, 40;100;1;5
улица Космонавтов, 22-а;64;4;5
улица Космонавтов, 12;76;4;5
улица Космонавтов, 8;64;4;5
улица Космонавтов, 22;75;4;5
улица Кривошеина, 70;162;4;9
улица Кривошеина, 13/11;544;6;45
улица Кривошеина, 9;80;6;4
улица Кривошеина, 13/13;744;6;17
улица Кривошеина, 68;126;3;9
улица Кривошеина, 19;143;4;9
улица Кривошеина, 13/9;271;1;17
улица Кривошеина, 13/12;187;1;17
улица Кривошеина, 23;144;1;9
улица Кривошеина, 17;143;4;9
улица Кривошеина, 72;100;2;10
улица Кривошеина, 1;80;4;5
улица Кривошеина, 21;143;4;9
улица Тепличная, 14;90;6;5
улица Тепличная, 26-а;238;6;10
улица Тепличная, 26/5;239;6;10
улица Тепличная, 6-б;318;8;10
улица Тепличная, 6-г;158;4;10
улица Тепличная, 8-б;276;7;10
улица Тепличная, 26-ж;356;9;10
улица Тепличная, 26/2;240;6;10
улица Тепличная, 26/4;319;8;10
улица Тепличная, 2-в;80;2;10
улица Тепличная, 8-а;318;8;10
улица Тепличная, 2-а;107;3;9
улица Тепличная, 26/11;88;2;10
улица Тепличная, 20;90;5;5
улица Тепличная, 26/12;80;2;10
улица Тепличная, 26/9;80;2;10
улица Тепличная, 26/10;76;2;10
улица Тепличная, 8;90;6;5
улица Тепличная, 2-б;119;3;10
улица Тепличная, 4;143;4;9
улица Тепличная, 6-в;158;4;10
улица Тепличная, 6;145;8;6
улица Тепличная, 28;60;4;5
улица Тепличная, 16;90;6;5
улица Тепличная, 2;180;2;9
улица Тепличная, 6-а;159;4;10
улица Ильича, 59;277;8;9
улица Ильича, 146;60;4;5
улица Ильича, 132;71;2;9
улица Ильича, 53;177;5;9
улица Ильича, 130;96;3;9
улица Ильича, 61;140;4;9
улица Ильича, 150;89;6;5
улица Ильича, 75;90;6;5
улица Ильича, 65;60;4;5
улица Ильича, 67;60;4;5
улица Ильича, 142;60;4;5
переулок Земнухова, 18-а;141;4;9
переулок Земнухова, 20-а;142;4;9
улица Заполярная, 1-а;179;5;9
улица Заполярная, 9;36;3;4
улица Киселева, 21;143;1;9
улица Киселева, 1;268;1;9
улица Киселева, 17;216;6;9
улица Киселева, 5;142;4;9
улица Папова, 10;339;7;10
улица Северцова, 48;197;5;10
улица Дорожная, 44-а;118;8;5
улица Дорожная, 1;150;1;16
улица Дорожная, 7;150;1;17
улица Дорожная, 9;153;1;17
улица Крымская, 3/1;474;4;17
улица Моисеева, 45;128;1;16
улица Моисеева, 44;82;1;12
улица Моисеева, 69;264;1;12
улица Моисеева, 61-б;135;1;17
улица Моисеева, 61;108;3;9
улица Моисеева, 33;46;3;5
улица Моисеева, 37;92;3;10
улица Моисеева, 9-б;229;3;16
улица Моисеева, 51;120;3;10
улица Моисеева, 63;264;1;12
улица Моисеева, 35;36;1;10
улица Моисеева, 47;207;6;9
улица Моисеева, 15-а;179;3;1
улица Моисеева, 43;171;5;9
улица Моисеева, 3;140;7;5
улица Моисеева, 75;138;3;1
улица Моисеева, 71;143;4;9
улица Моисеева, 73;137;4;9
улица Моисеева, 55;275;1;12
улица Моисеева, 11-а;51;1;12
улица Моисеева, 10;278;5;15
улица Моисеева, 25;144;8;9
улица Моисеева, 1;206;12;5
улица Моисеева, 42;58;4;5
улица Моисеева, 59;108;3;9
улица Моисеева, 51-а;89;5;5
улица Моисеева, 13/2;98;5;5
улица Моисеева, 65;108;3;9
улица Моисеева, 15;208;5;10
улица Моисеева, 11;107;6;5
улица Моисеева, 57;106;3;9
улица Моисеева, 80;82;1;12
улица Моисеева, 40;60;4;5
улица Моисеева, 67;108;3;9
улица Газовая, 16;32;2;4
улица Жигулевская, 28-а;60;3;5
улица Семилукская, 48;306;2;17
улица Костромская, 8/2;60;3;5
улица Костромская, 3;32;2;4
улица Костромская, 5;32;2;4
улица Костромская, 30;32;2;4
улица Костромская, 26-а;70;4;5
улица Костромская, 7;60;3;5
улица Костромская, 10;48;3;5
улица Костромская, 4;200;1;5
улица Костромская, 6;200;1;5
улица Костромская, 12/2;60;3;5
улица Костромская, 2;60;3;5
улица Туполева, 10;140;1;9
улица Туполева, 2-а;257;7;9
улица Туполева, 11-б;125;3;9
улица Туполева, 33;100;6;5
улица Туполева, 38;258;1;9
улица Туполева, 9;144;1;9
улица Туполева, 40;80;4;5
улица Туполева, 3-в;81;2;9
улица Туполева, 8;108;3;9
улица Туполева, 19;90;6;5
улица Туполева, 27-а;720;8;10
улица Туполева, 16;262;1;9
улица Туполева, 43;80;6;5
улица Туполева, 29-а;100;6;5
улица Туполева, 13;78;6;5
улица Туполева, 41;70;4;5
улица Туполева, 22;124;8;5
улица Туполева, 5;136;1;9
улица Туполева, 13-б;152;4;9
улица Туполева, 50;80;6;5
улица Туполева, 20;172;5;9
улица Туполева, 11-а;153;4;9
улица Туполева, 15-б;180;5;9
улица Туполева, 23;216;6;9
улица Туполева, 29;80;1;5
улица Туполева, 39;106;8;5
улица Туполева, 15;144;1;9
улица Туполева, 24;108;3;9
улица Туполева, 12;171;1;9
улица Туполева, 21;90;6;5
улица Туполева, 25;136;4;9
улица Туполева, 31;100;6;5
улица Туполева, 11;144;1;9
улица Туполева, 17;108;3;9
улица Туполева, 27;171;1;9
улица Туполева, 3;104;2;5
улица Туполева, 15-а;142;4;9
улица Туполева, 3-а;144;1;9
улица Туполева, 3-б;125;3;9
улица Туполева, 28;82;1;12
улица Туполева, 1;69;1;5
улица Туполева, 38-б;70;4;5
Рабочий проспект, 100;79;5;5
Рабочий проспект, 40;120;3;10
Рабочий проспект, 103;56;3;5
улица Лидии Рябцевой, 57;60;3;5
улица Лидии Рябцевой, 28-б;40;1;10
улица Лидии Рябцевой, 51-в;54;1;9
улица Лидии Рябцевой, 50;237;5;10
улица Лидии Рябцевой, 28-а;81;2;9
улица Лидии Рябцевой, 28;207;5;9
улица Лидии Рябцевой, 51-а;45;1;9
улица Лидии Рябцевой, 53;54;5;4
улица Лидии Рябцевой, 55;125;3;5
набережная Авиастроителей, 28-а;115;1;16
набережная Авиастроителей, 18;420;13;9
набережная Авиастроителей, 4;179;5;9
набережная Авиастроителей, 12;106;3;9
набережная Авиастроителей, 16;215;6;9
набережная Авиастроителей, 22;304;9;9
набережная Авиастроителей, 42;72;2;9
набережная Авиастроителей, 24;213;6;9
набережная Авиастроителей, 44;72;2;9
набережная Авиастроителей, 20;92;1;16
набережная Авиастроителей, 38;171;5;9
набережная Авиастроителей, 14;81;2;42
набережная Авиастроителей, 26;128;1;16
улица Чапаева, 124-б;181;2;17
улица Чапаева, 110;114;2;13
улица Чапаева, 58-а;36;1;10
улица Чапаева, 130-а;79;2;9
улица Чапаева, 114;117;3;10
улица Чапаева, 122;117;3;9
улица Чапаева, 52-а;231;2;17
улица Чапаева, 132;184;6;9
улица Чапаева, 118;156;4;9
улица Чапаева, 116;120;3;10
улица Чапаева, 126;179;6;10
улица Чапаева, 112;192;6;10
улица Чапаева, 120;142;4;9
улица Чапаева, 128;70;5;5
улица Чапаева, 130;69;4;5
улица Чапаева, 124;80;2;10
улица Чапаева, 122-а;47;1;12
улица Чапаева, 124-а;40;1;10
улица Еремеева, 27;80;4;5
улица Еремеева, 35;74;4;5
улица Еремеева, 39;71;4;5
улица Еремеева, 33;74;4;5
улица Еремеева, 43;32;3;3
улица Брусилова, 3;184;10;5
улица Полины Осипенко, 24;75;3;3
площадь Ленина, 4;136;6;6
площадь Ленина, 15;96;6;5
площадь Ленина, 3;45;3;5
площадь Ленина, 14;48;4;5
улица Донбасская, 5;64;4;5
улица Донбасская, 3;243;7;9
улица Донбасская, 1;56;4;5
улица Куколкина, 6;80;6;5
улица Куколкина, 33;425;9;7
улица Куколкина, 11;559;9;20
улица Куколкина, 1;62;4;5
улица Куколкина, 24;56;4;5
улица Куколкина, 29;90;5;5
улица Куколкина, 14;64;4;5
улица Куколкина, 31;40;2;5
улица Циолковского, 13;64;8;4
улица Циолковского, 7;60;3;5
улица Циолковского, 15;64;8;4
улица Циолковского, 29;32;2;4
улица Циолковского, 119;70;4;5
улица Циолковского, 5-а;71;1;12
улица Циолковского, 8;236;6;10
улица Циолковского, 11;120;6;5
улица Циолковского, 113/4;96;3;9
улица Циолковского, 121;70;4;5
улица Циолковского, 113/1;64;2;9
улица Циолковского, 113/2;89;3;9
улица Циолковского, 129;160;1;5
улица Циолковского, 19;75;1;3
улица Циолковского, 121а;88;6;5
улица Циолковского, 17;64;11;4
улица Циолковского, 7/2;60;3;5
улица Циолковского, 117;68;4;5
улица Циолковского, 31;50;4;5
улица Циолковского, 113/3;72;2;9
улица Циолковского, 123;113;8;5
улица Карпинского, 2;204;5;9
улица Карпинского, 4;146;4;9
улица Карпинского, 1;124;2;5
улица Карпинского, 17;69;4;5
улица Карпинского, 3;84;1;12
улица Карпинского, 5;60;4;5
улица Карпинского, 6 ;99;1;12
улица Карпинского, 15;120;2;5
улица Пятницкого, 65-а;111;2;21
улица Иркутская, 17;100;6;5
улица Иркутская, 70;180;5;9
улица Иркутская, 15;100;6;5
улица Иркутская, 15-а;157;1;9
улица Иркутская, 9;82;1;12
улица Иркутская, 27;171;2;9
улица Иркутская, 23;146;4;9
улица Иркутская, 19;80;6;5
улица Иркутская, 5;58;2;5
улица Иркутская, 1;144;4;9
улица Иркутская, 68;197;6;9
улица Иркутская, 21;96;6;5
улица Белинского, 21;48;4;8
улица Красноармейская, 33/13;64;5;45
улица Красноармейская, 60;105;2;9
улица Красноармейская, 17;171;10;45
улица Красноармейская, 27;95;7;5
улица Красноармейская, 62;48;6;4
улица Студенческая, 14;58;4;4
улица Студенческая, 31;45;6;4
улица Студенческая, 34;88;1;12
улица Студенческая, 33;62;7;4
улица Студенческая, 12-а;145;3;11
улица Студенческая, 14-а;35;2;5
улица Студенческая, 1;58;3;5
улица Ростовская, 59-а;120;2;10
улица Ростовская, 100б;1138;2;18
улица Ростовская, 58/5;237;6;10
улица Ростовская, 67;821;8;15
улица Ростовская, 84;117;3;10
улица Ростовская, 48/3;80;4;5
улица Ростовская, 61;253;7;9
улица Ростовская, 40;72;4;5
улица Ростовская, 80-а;97;3;9
улица Ростовская, 58/8;159;4;10
улица Ростовская, 58/4;339;7;10
улица Ростовская, 70;81;2;9
улица Ростовская, 86;200;5;10
улица Ростовская, 58/17;197;5;10
улица Ростовская, 73;252;6;10
улица Ростовская, 42;80;4;5
улица Ростовская, 48;60;3;5
улица Ростовская, 52;64;4;5
улица Ростовская, 58/18;158;4;10
улица Ростовская, 38;80;4;5
улица Ростовская, 72;214;6;9
улица Ростовская, 71;199;5;10
улица Ростовская, 69;280;4;10
улица Ростовская, 50;64;4;5
улица Ростовская, 58/22;165;4;10
улица Ростовская, 58/21;120;3;10
улица Ростовская, 48/2;38;2;5
улица Ростовская, 58/23;80;2;10
улица Ростовская, 58/3;338;7;10
улица Ростовская, 56/1;40;2;5
улица Ростовская, 46/5;100;5;5
улица Ростовская, 58/10;159;4;10
улица Ростовская, 58/19;282;7;10
улица Ростовская, 58/20;198;5;10
улица Ростовская, 66;261;1;9
улица Ростовская, 46/7;100;5;5
улица Ростовская, 53-а;119;2;10
улица Ростовская, 74;107;3;9
улица Ростовская, 58/7;237;6;10
улица Ростовская, 46/4;100;5;5
улица Ростовская, 26-а;62;4;5
улица Ростовская, 44;80;4;5
улица Ростовская, 76;141;4;9
улица Ростовская, 46/6;100;5;5
улица Ростовская, 58/1;236;6;10
улица Ростовская, 73-а;160;4;10
улица Ростовская, 46/8;100;5;5
улица Ростовская, 50/2;38;4;5
улица Ростовская, 53;60;1;10
улица Ростовская, 46/3;80;4;5
улица Черняховского, 1;315;5;9
улица Черняховского, 15-а;163;3;41
улица Черняховского, 6;90;6;5
улица Черняховского, 4;63;1;9
улица Республиканская, 74-а;546;10;16
улица Солнечная, 10;183;1;5
улица Солнечная, 27;33;;2
улица Солнечная, 2;149;2;5
улица Солнечная, 23;186;1;5
переулок Новый, 12;375;11;9
улица Грамши, 80;204;3;17
улица Грамши, 76;357;6;17
улица Грамши, 90;289;4;17
улица Грамши, 74;238;4;17
улица Грамши, 84;238;5;17
улица Грамши, 82;238;6;17
улица Грамши, 70;64;2;9
улица Грамши, 72;142;4;9
улица Матросова, 64;140;2;5
улица Матросова, 145-б;46;3;4
улица Матросова, 66а;89;1;12
улица Матросова, 139;58;2;3
улица Матросова, 6-а;99;3;9
улица Матросова, 6;109;8;5
улица Матросова, 127;245;7;9
улица Матросова, 149;48;3;4
улица Матросова, 145-а;46;3;4
улица Матросова, 139-а;53;3;5
улица Чайковского, 4;76;8;5
улица Чайковского, 3;53;3;5
улица Чайковского, 5;90;5;5
улица 30-летия Октября, 56;99;6;5
улица Ленина, 56;103;2;17
улица Ленина, 43;258;4;10
переулок Отличников, 37;57;6;4
улица Большая Манежная, 13-в;69;2;42
улица Большая Манежная, 2;70;4;6
улица Большая Манежная, 5;34;1;10
улица Сакко и Ванцетти, 69;52;2;9
улица Сакко и Ванцетти, 41;81;5;7
улица Сакко и Ванцетти, 96;154;1;14
улица Сакко и Ванцетти, 78-а;160;3;22
улица Арзамасская, 21;96;6;5
улица Володарского, 40;112;6;5
улица Володарского, 70;57;6;5
улица Володарского, 37-а;45;4;4
улица Айвазовского, 2-в;240;3;16
улица Острогожская, 164/2;440;8;12
улица Острогожская, 170/2;340;2;17
улица Острогожская, 168-р;182;2;17
улица Острогожская, 65;60;3;5
улица Острогожская, 164/1;530;10;12
улица Острогожская, 170/4;340;2;17
улица Острогожская, 164/4;260;3;12
улица Острогожская, 170/5;144;1;18
улица Острогожская, 170/10;340;2;17
улица Острогожская, 166/4 ;180;2;18
улица Острогожская, 166/3;180;2;18
улица Острогожская, 67-в;70;4;5
улица Острогожская, 170/7;144;1;17
улица Острогожская, 168-с;432;1;27
улица Острогожская, 168/5;128;1;17
улица Острогожская, 168/4;128;1;17
улица Острогожская, 168/2;128;1;17
улица Острогожская, 67-а;78;4;5
улица Острогожская, 168/3;128;1;17
улица Острогожская, 170/1;144;1;17
улица Острогожская, 67-б;60;3;5
улица Острогожская, 170/3;144;1;17
улица Острогожская, 170/12;340;2;17
улица Острогожская, 164/3;80;2;12
улица Острогожская, 168у;185;2;17
улица Острогожская, 67;64;4;4
улица Острогожская, 63;44;3;4
улица Теплоэнергетиков, 17 корпус 4;256;1;19
улица Теплоэнергетиков, 17 корпус 1;279;1;19
улица Теплоэнергетиков, 9;59;1;5
улица Теплоэнергетиков, 17 корпус 2;360;1;19
улица Теплоэнергетиков, 17 корпус 3;256;1;19
улица Теплоэнергетиков, 3;288;9;9
улица Теплоэнергетиков, 13;180;6;9
улица Теплоэнергетиков, 8;192;2;9
улица Теплоэнергетиков, 15;216;7;9
улица Теплоэнергетиков, 11;144;4;9
улица Теплоэнергетиков, 12;144;4;9
улица Теплоэнергетиков, 10;56;2;5
улица Теплоэнергетиков, 7;143;4;9
улица Путилина, 10;32;2;4
улица Путилина, 1;96;6;5
улица Путилина, 12-а;52;4;5
улица Путилина, 10-а;32;2;4
улица Менделеева, 5;41;3;4
улица Менделеева, 3;55;4;45
улица Менделеева, 4-а;213;2;12
улица Менделеева, 18-а;68;4;5
улица Менделеева, 18-б;70;4;5
улица Менделеева, 4;32;4;4
улица Менделеева, 18;60;3;5
улица Менделеева, 25;160;1;10
улица Менделеева, 21-а;57;4;5
улица Менделеева, 1;80;4;5
улица Корейская, 6-А;320;7;10
улица Корейская, 6-Б;140;3;10
улица Авиационная, 17;46;3;45
переулок Бауманский, 15;59;2;5
улица Декабристов, 32;63;2;8
улица Гайдара, 1-а;85;1;5
переулок Ботанический, 47-а;130;3;10
улица Брянская, 3;40;2;5
улица Брянская, 15-а;179;1;17
улица Помяловского, 38;54;1;10
улица Помяловского, 40;38;1;11
улица Вольная, 44;70;4;5
улица Херсонская, 21-а;646;5;43
улица Независимости, 78 корпус 1;625;2;23
улица Независимости, 84/5;282;1;19
улица Независимости, 82/2;176;2;17
улица Независимости, 84/3 ;282;1;18
улица Независимости, 78-б корпус 1;189;2;50
улица Независимости, 84/2;282;1;18
улица Независимости, 84;282;1;18
улица Независимости, 84/4;289;1;18
улица Независимости, 82/1;176;2;16
улица Рокоссовского, 45;180;2;18
улица Сельская, 2/2;160;1;17
улица Сельская, 2-м;429;3;18
улица Сельская, 2/1;359;4;9
улица Сельская, 2-ф;359;4;9
улица Сельская, 2-ш;359;4;9
улица Чехова, 2А;45;1;3
улица Чехова, 2В;45;1;3
квартал Олимпийский жилой массив, 2;287;4;17
квартал Олимпийский жилой массив, 4;292;4;17
улица Историка Костомарова, 48А;192;1;17
улица Историка Костомарова, 46/3;150;2;16
улица Историка Костомарова, 46/2;252;3;17
улица Историка Костомарова, 40а;192;1;17
улица Историка Костомарова, 42а;144;1;18
улица Историка Костомарова, 46/1;160;1;16
переулок Автогенный, 21;243;7;9
переулок Автогенный, 11-а;208;3;16
переулок Автогенный, 9;140;1;9
переулок Автогенный, 13;54;1;9
улица Желябова, 46;89;6;5
улица Желябова, 7;69;4;5
улица Желябова, 17;141;4;9
улица Желябова, 15;69;1;12
улица Свободы, 28К1;141;7;3
улица Свободы, 24;50;4;5
улица Кирова, 70;56;2;8
